"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Arab World","ARB","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","72.4799270629883","74.9793701171875","79.466682434082","75.3964004516602","78.3528289794922","69.9880828857422","77.6100997924805","78.8667831420898","79.6934432983398","82.0986709594727","83.5031890869141","83.3385162353516","86.1627426147461","85.8486709594727","85.8964309692383","86.7900695800781","88.6699676513672","87.0634078979492","89.849006652832","89.4586486816406","89.5297088623047","89.5666427612305","89.2991027832031","89.4435272216797","89.3288497924805","89.2272415161133","90.4229125976563","90.0622634887695","91.8398971557617","92.2288131713867","92.0940628051758","91.8177871704102","91.0919418334961","91.1900863647461","91.3295516967773","91.2592163085938","91.3043518066406","90.88085","90.49448","87.26139","88.16397","88.19337","88.64357","89.71471","90.41339","","",
"Arab World","ARB","Rural poverty headcount ratio at national poverty lines (% of rural population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1845477045644","","27.8991075096149","24.0525840637992","","","","",
"Caribbean small states","CSS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.89","","","","","",
"Caribbean small states","CSS","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7351132624553","11.4915999867043","9.5673990616021","9.71279431664048","9.16241471041297","8.6512373872185","7.89019351659926","7.37973795864936","6.6380942294953","6.60131838443744","6.6671770603495","6.38537971177225","5.82881106145531","5.75045253936923","5.4270742957311","5.43699415664194","5.25761689076249","5.28876646817494","5.2737741967124","5.23907751722785","5.25506102482116","5.08270975329966","5.06084777700083","4.96832518154873","4.9898472514243","5.32296153158507","5.66610450476681","5.69136985582449","5.61848103440759",
"Caribbean small states","CSS","Gross capital formation (current LCU)","NE.GDI.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Investment in energy with private participation (current US$)","IE.PPI.ENGY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Net financial flows, others (NFL, current US$)","DT.NFL.MOTH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Population ages 60-64, female (% of female population)","SP.POP.6064.FE.5Y","2.3449521955298","2.36784540053949","2.38866626901729","2.41464396860347","2.44910477131652","2.48932198566931","2.52780170172761","2.56861857558539","2.60077354825977","2.61924057012753","2.62607190725997","2.63725298511992","2.63225388767931","2.60933113172854","2.58118839512329","2.56046423044024","2.56603723146782","2.57533513765581","2.57045638912202","2.54449481875644","2.50475762824535","2.49441347830662","2.47483798016777","2.44162895949576","2.40638205895687","2.38427511549359","2.43327819434763","2.49824377742232","2.55592557728688","2.58995210609611","2.59990561266881","2.58432952190149","2.56862422261508","2.55624323011248","2.55260097395149","2.5608411164174","2.58974842697503","2.62731503256645","2.66815715408781","2.70442015885977","2.73020940656332","2.73757637494163","2.74646470580088","2.76453048360924","2.79934620449151","2.85111282583898","2.90876037529269","2.98637033236253","3.08326609164874","3.19055025219705","3.29533755918083","3.36970739326898","3.44258484662915","3.52299286581089","3.62506408636357","3.75546634004129","3.89657004826916","4.062486103391","4.24208980217009","",
"Caribbean small states","CSS","Tax payments (number)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.0909090909091","40.0909090909091","38.25","39.1666666666667","39.1666666666667","39.1666666666667","38.2307692307692","35.4615384615385","35.4615384615385","35.4615384615385","35.6153846153846","34.6153846153846","34.6923076923077","33.7692307692308","33.6923076923077",
"Caribbean small states","CSS","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.7094497680664","75.1759567260742","75.9716873168945","76.3240203857422","76.9807662963867","77.8898010253906","76.4259796142578","76.4465866088867","75.6580505371094","75.7048187255859","75.0148086547852","76.0913009643555","76.7866","78.5849","79.24095","77.97205","86.81801","86.89545","86.96398","86.50856","88.1588","",
"Caribbean small states","CSS","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Adjusted net enrollment rate, primary, male (% of primary school age children)","SE.PRM.TENR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.765739440918","94.0166397094727","94.362663269043","93.4620590209961","94.0536117553711","93.8573837280273","93.6813278198242","93.2867202758789","93.1057815551758","93.0675888061523","94.1634292602539","94.2715377807617","94.388671875","94.58313","94.4013","94.46408","93.86227","93.21598","93.19004","92.79179","92.52993","90.40556","",
"Central Europe and the Baltics","CEB","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","46.0990101710871","45.4216458639622","44.7021293347386","44.9632288211831","45.1905385252946","45.4109795181262","45.6500280481943","45.9048022121994","45.6813974553048","45.4295618197592","45.1721583391485","44.8436163409091","44.4704094976879","45.8249114644406","47.1891817125357","48.5833293431844","50.0126797237569","51.4172389865394","50.6419181559382","49.9936622110588","49.4909966819601","49.0640335367559","48.700773862089","48.4988352948584","48.1877118069515","47.7224323699389","47.1342711623533","46.4299799815923","44.9644863351276","43.4904891255341","42.0370121125496","40.5917643109572","39.1853697907343","36.6897062663533","34.1942642411094","31.6881847823635","29.1789498249398","26.6434161567145","25.5885625451731","24.5924732248163","23.7107682730392","22.7767916262849","21.9103285917063","22.3730133253436","22.8214491620717","23.18136065686","23.3799810502373","23.4155477184077","22.6579447676538","21.9998086435335","21.4866074022197","21.0200779379411","20.6286377299768","20.4277222398844","20.2495367756915","20.0656204564224","19.8687356656667","19.6790830358294","","",
"Central Europe and the Baltics","CEB","Adolescents out of school, female (% of female lower secondary school age)","SE.SEC.UNER.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.11342000961304","5.0786600112915","4.15309000015259","3.90007996559143","4.6801700592041","3.95220994949341","3.93314003944397","3.40829992294312","3.19472002983093","3.51025009155273","4.32252979278564","5.5063099861145","6.01554012298584","5.75869","5.09553","4.34827","3.88446","3.43106","3.53153","3.9025","3.95527","3.96185","",
"Central Europe and the Baltics","CEB","Agriculture, forestry, and fishing, value added (constant LCU)","NV.AGR.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Bird species, threatened","EN.BIR.THRD.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133","",
"Central Europe and the Baltics","CEB","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","3.68741551744551","3.65501195106131","3.61867098006356","3.79463599452528","3.84356818169099","3.84983045386503","3.80815323402023","3.72402087689295","3.77137383614184","3.71206576748294","3.70079278437889","3.44322292157097","3.47581231180397","3.41379298856241","3.41148242123338","3.41426728678909","3.40872772810499","3.37485618284553","3.28934720203395","3.2703704907802","3.32101301212926","3.26047804810501","3.2305967929104","3.26580999257046","3.3063230603656","3.26308013282972","3.23196074916173","3.23354367584333","3.12357198205085","3.15925599005964","","","3.00894590505049","3.00449160788735","2.939486558132","2.89195232575076","2.84632149526723","2.83528848931353","2.80603779316615","2.79616926816559","2.77884438584857","2.78028130935448","2.72309823834433","2.72515829372534","2.68761417075958","2.66964197008474","2.69506823471514","2.69946734164763","2.64449541650818","2.57799864071728","2.59129988684124","2.60234042397558","2.53472150861199","2.52610348156095","2.4888776510583","","","","","",
"Central Europe and the Baltics","CEB","CPIA social protection rating (1=low to 6=high)","IQ.CPA.PROT.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Expense (current LCU)","GC.XPN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","187669.71","192661.11","197836.66","204673.44","211302.99","217922.55","222892.55","228589.21","233868.29","238830.67","234602.47","221434.55","233064.06","255577.5","250489.4","252747.75","249330.25","250363.52","248988.51","240577.63","219136.3","206963.66","195500.8","174946.17","172357.79","167558.99","165075.77","162257.35","151473.77","146705.22","154148.33","153062.77","152351.85","153352.34","151905.42","151229.7","151176.18","148084.54","146188.95","145118.9","145439.98","144277.293760146","143435.788520292","","","","","","","",
"Central Europe and the Baltics","CEB","Net bilateral aid flows from DAC donors, Iceland (current US$)","DC.DAC.ISLL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
